,CardID,FDate,LineCode_O,PLat_O,Time_O,Station_O,LineCode_D,PLat_D,Time_D,Station_D
75,3791905052,1398/06/23,1,N11,39045,3169,24,M146,49092,2932
76,1832868061,1398/06/23,1,N11,39049,3169,20,M86,47211,1882
77,1371988206,1398/06/23,1,N11,25672,1361,1,N11,48221,1227
78,3648184996,1398/06/23,1,N11,25817,1248,57,F137,70642,3169
79,4276256690,1398/06/23,1,N11,39555,1372,5,B118,43868,2566
80,2741980548,1398/06/23,57,M81,25999,1120,1,N167,41135,3169
81,722126353,1398/06/23,1,N167,36814,2781,97,E221,72558,1682
82,2045367806,1398/06/23,1,N54,24339,3169,57,F137,70647,3169
83,425600206,1398/06/23,1,N54,36741,1227,97,A38,66279,1682
84,721920891,1398/06/23,1,N54,37375,2781,63,F65,43504,2552
85,1360798042,1398/06/23,1,N77,26936,3169,152,N34,46201,1883
86,3648789396,1398/06/23,1,N77,26959,3169,43,C15,27660,2351
87,183103654,1398/06/23,1,N77,27464,3169,20,M57,28079,1882
88,2506230708,1398/06/23,57,M187,23261,3169,10,A144,23978,1880
89,3183386702,1398/06/23,10,F81,43946,2120,10,A17,68178,1109
90,174465620,1398/06/23,10,A31,23235,1880,10,F153,54130,2120
91,262361601,1398/06/23,10,A31,25808,2120,71,N67,27554,1343
92,2229561059,1398/06/23,46,F159,34571,3823,10,A31,42884,2120
93,2229561059,1398/06/23,10,A31,42884,2120,63,D36,46939,1305
94,3446764252,1398/06/23,10,A38,42058,2494,10,A31,42937,2120
95,1528237950,1398/06/23,10,A31,38606,1259,79,N158,70455,4054
96,425755758,1398/06/23,10,A38,28545,2476,41,N93,30000,1295
97,426577486,1398/06/23,57,M120,32356,3169,10,A38,36964,1260
98,426577486,1398/06/23,10,A38,36964,1260,92,D39,45713,1644
99,4275724242,1398/06/23,10,D49,23864,1880,74,A38,25302,2164
100,736953776,1398/06/23,79,E51,21965,1881,10,D49,24187,1880
101,1592396900,1398/06/23,10,D49,54324,1880,41,A146,57412,1295
102,2138035373,1398/06/23,13,N115,53612,1528,10,D49,55118,1154
103,2138035373,1398/06/23,10,D49,55118,1627,5,B52,71075,2566
104,1530524302,1398/06/23,57,B115,38781,1120,10,D49,55124,1154
105,2125356100,1398/06/23,5,F20,53041,2566,10,D49,55128,1627
106,3151052958,1398/06/23,46,E183,36199,3684,10,D52,37811,1880
107,721987045,1398/06/23,46,E183,36075,3684,10,D52,37869,1880
108,2743023780,1398/06/23,10,D52,56858,1880,7,E224,59715,2606
109,2124489412,1398/06/23,33,B64,48974,3435,10,D52,56924,1880
110,2590713524,1398/06/23,57,M81,29445,3169,10,D52,43280,1342
111,1838248989,1398/06/23,4,N32,34282,2566,10,E187,70947,2120
112,2052389890,1398/06/23,10,E187,70953,2120,5,A142,73448,2566
113,3794568572,1398/06/23,10,F11,59528,2484,10,E187,76734,2120
114,721724164,1398/06/23,10,E187,33841,1260,47,D91,48446,3638
115,641917642,1398/06/23,10,F11,31935,1880,86,N171,38687,1552
116,2681831022,1398/06/23,10,F118,31135,2480,46,A47,34970,3823
117,2185214755,1398/06/23,46,E183,32391,3823,10,F118,39946,1298
118,1528682782,1398/06/23,57,A58,25384,3169,43,D26,26199,1361
119,1528682782,1398/06/23,43,D26,26199,1361,10,F118,61143,1346
120,2680228382,1398/06/23,43,F142,35557,1247,10,F118,61220,1346
121,1528850062,1398/06/23,4,N32,23615,3194,10,F150,24797,1880
122,1527175374,1398/06/23,4,N32,23980,3194,10,F150,24802,1880
123,1527175374,1398/06/23,10,F150,24802,1880,57,A18,45089,3169
124,2122350116,1398/06/23,10,F152,23635,1880,71,A125,54616,1343
125,1845291940,1398/06/23,70,F23,22198,4133,10,F152,23883,1880
126,4256602820,1398/06/23,46,M135,24544,3823,10,F152,25992,1110
127,361171268,1398/06/23,10,F152,30452,1259,83,M108,36770,2524
128,3405903682,1398/06/23,10,F152,39941,1741,41,A164,68138,3545
129,721780474,1398/06/23,57,E130,21623,3169,10,F153,22376,1880
130,4266102338,1398/06/23,10,F153,33334,2120,42,E75,36107,1303
131,3646987556,1398/06/23,46,M95,26810,3456,10,F153,33544,2120
132,3678406444,1398/06/23,5,A51,48707,2566,10,F153,54484,2120
133,2740973732,1398/06/23,10,F153,38024,1110,47,D91,72849,1240
134,1213710014,1398/06/23,10,F153,42829,1261,41,N93,45034,1295
135,869437031,1398/06/23,10,F21,22467,1880,16,M77,71784,3359
136,2504772308,1398/06/23,10,F21,53529,1148,58,B61,59099,3922
137,2743286420,1398/06/23,46,A47,21799,3823,10,F81,23071,1880
138,3672247186,1398/06/23,44,C14,20835,1866,10,M39,23764,1880
139,2680068974,1398/06/23,10,M39,26621,2120,92,E22,28069,1220
140,261043393,1398/06/23,36,E105,37259,2881,10,M39,44599,2120
141,2541198334,1398/06/23,46,A47,22013,3823,10,N190,23718,1880
142,4278843602,1398/06/23,10,N190,35435,1627,9,A35,42938,1106
143,2740989764,1398/06/23,46,A47,38041,3456,10,N190,40083,2476
144,2740989764,1398/06/23,10,N190,40083,2476,46,E112,46097,3456
145,4241476119,1398/06/23,103,C32,26350,3056,103,D32,64827,1893
146,2116201748,1398/06/23,103,C32,26686,3056,103,E201,42965,1893
147,210800028,1398/06/23,103,C32,30245,1893,31,C20,32825,1889
148,869306518,1398/06/23,103,C32,39185,3056,147,N89,71420,1745
149,2117554820,1398/06/23,103,C32,39521,3056,103,F62,48373,1893
150,3104895550,1398/06/23,103,E201,23679,3056,103,C32,45963,1893
151,1595343268,1398/06/23,103,C32,45969,1893,103,F62,66640,3056
152,721997350,1398/06/23,103,F162,29250,3056,103,C32,46039,1893
153,1530469166,1398/06/23,103,E201,23203,3056,103,C32,46111,1893
154,3154123342,1398/06/23,103,F162,33628,1893,103,E201,42815,1893
155,3154123342,1398/06/23,103,E201,42815,1893,103,E201,59028,1893
156,3154123342,1398/06/23,103,E201,59028,1893,103,C32,68263,3056
157,262703969,1398/06/23,103,F62,65394,1893,103,D32,68748,1893
158,722030788,1398/06/23,103,E201,23637,3056,103,F62,61726,1893
159,3792822188,1398/06/23,103,E201,36684,2388,103,F62,48219,1893
160,2117618148,1398/06/23,103,F162,29247,3056,31,B74,45604,2516
161,2117618148,1398/06/23,31,B74,45604,3051,103,F62,48205,1893
162,3405817011,1398/06/23,80,A143,32089,2889,103,F162,35619,3056
163,2125992436,1398/06/23,85,F60,29020,2932,103,F162,35985,3056
164,3632151404,1398/06/23,103,F162,43121,1893,31,A38,44130,3595
165,3632151404,1398/06/23,31,A38,44130,3595,103,F62,66558,3056
166,361845876,1398/06/23,103,F162,52393,1893,103,F62,66458,3056
167,1296008110,1398/06/23,103,F62,24965,3056,31,B48,26144,1889
168,3405837942,1398/06/23,41,M66,26689,4190,103,F62,30422,3056
169,735800768,1398/06/23,96,F166,22864,1439,103,F62,48641,1893
170,3791712236,1398/06/23,106,F92,23089,1979,106,F92,29879,1979
171,2671697124,1398/06/23,12,F106,27151,3765,12,M34,46935,3765
172,2122880612,1398/06/23,25,M36,24115,2764,12,F106,58581,3765
173,3630048636,1398/06/23,34,M169,36108,1168,12,M34,39690,1455
174,3405958267,1398/06/23,18,F70,38523,2735,12,M34,46946,3765
175,1001873918,1398/06/23,34,A50,26706,4179,12,M34,46964,3765
176,736677664,1398/06/23,12,N72,21964,1455,92,E22,23009,1644
177,3405835865,1398/06/23,12,N72,37573,1455,18,E236,46560,2735
178,2050146098,1398/06/23,52,A38,41774,4091,13,D79,45079,2566
179,2740825044,1398/06/23,13,M128,26441,1528,13,E206,35854,1528
180,869458967,1398/06/23,13,M128,26687,1528,13,E206,36109,1528
181,721752843,1398/06/23,13,N115,25107,2566,13,E206,63195,2566
182,2741614404,1398/06/23,13,F27,28470,1528,13,E206,70507,2566
183,1789116308,1398/06/23,83,F102,24367,2524,13,E206,70514,2566
184,3152424798,1398/06/23,13,N115,22141,1528,13,F27,66348,1528
185,482800036,1398/06/23,13,N115,53607,1528,5,B52,65459,2566
186,869272418,1398/06/23,13,N115,53610,1528,5,A142,66702,2566
187,361282324,1398/06/23,14,A141,23935,3349,14,E120,62156,2422
188,722173245,1398/06/23,14,A141,34614,3349,14,M96,40999,2881
189,3446184844,1398/06/23,14,A141,34924,3349,14,M121,36997,3349
190,983743643,1398/06/23,14,A141,34964,3349,14,A141,52722,3349
191,261231457,1398/06/23,16,F149,61446,1146,14,F108,65295,3349
192,2125921908,1398/06/23,14,M121,24452,3349,63,D17,25171,2422
193,3213377268,1398/06/23,14,M96,43670,3349,97,E125,49404,1682
194,362347428,1398/06/23,80,N81,22907,1900,14,N71,63862,2881
195,3179372558,1398/06/23,146,M42,35418,2870,146,M42,38968,3999
196,2541178350,1398/06/23,146,M42,38093,3999,146,M42,44532,2870
197,3206395220,1398/06/23,149,M59,34246,3852,146,M42,49604,2870
198,3256245325,1398/06/23,29,B55,48664,4170,146,M42,49742,2870
199,425640846,1398/06/23,146,M42,38085,3999,146,M42,57023,2288
200,736925232,1398/06/23,146,M42,39100,3999,146,M42,60791,1922
201,235814074,1398/06/23,147,M46,23888,1745,147,M46,62270,1745
202,722025494,1398/06/23,147,M46,29130,1745,147,M46,48127,1745
203,722274898,1398/06/23,147,N89,40562,3998,147,M46,42388,2870
204,869296782,1398/06/23,147,N89,40732,3998,147,M46,42393,2870
205,2122631524,1398/06/23,147,M46,42411,2870,147,M46,45922,1745
206,1529239950,1398/06/23,147,M46,48065,1745,147,M46,72095,1745
207,722091393,1398/06/23,147,N89,23783,1745,147,N89,69317,2870
208,4270742914,1398/06/23,149,E234,44768,3251,149,E234,67444,3251
209,3254456957,1398/06/23,150,E171,27263,3251,150,E171,68621,3094
210,3650374100,1398/06/23,150,E171,39067,3848,150,E171,49080,3251
211,3558279041,1398/06/23,42,B111,41937,3284,150,E171,48883,3251
212,3214212964,1398/06/23,150,E171,39491,4076,150,E171,49074,3251
213,3405953460,1398/06/23,43,M117,34782,1287,150,E171,66621,3251
214,3678717996,1398/06/23,150,M107,57379,3095,150,E171,75283,3848
215,2542082398,1398/06/23,150,E171,34338,2409,150,E171,40227,4076
216,4270403602,1398/06/23,150,E171,39527,4076,150,M107,64468,3096
217,3208634468,1398/06/23,150,M107,35548,3251,150,E171,39570,3947
218,426928158,1398/06/23,28,M211,31067,1256,150,E171,68935,3094
219,2498110013,1398/06/23,150,M107,35430,3251,150,M107,44198,3096
220,212426508,1398/06/23,150,M107,56905,3095,150,M107,66395,3251
221,721981437,1398/06/23,22,E212,22844,2218,152,E109,25821,1748
222,721981437,1398/06/23,152,E109,25821,1748,22,F98,33047,2218
223,79425050,1398/06/23,152,E209,24069,1748,79,F17,25054,1881
224,3792105116,1398/06/23,152,E209,32918,1883,43,M183,48444,2769
225,3205152997,1398/06/23,152,E209,33051,1883,152,M27,47467,1883
226,4266587874,1398/06/23,5,A142,24765,2566,152,E209,45717,1748
227,2116577940,1398/06/23,152,F76,43560,1748,152,E209,69746,1883
228,980529355,1398/06/23,34,M99,65673,1169,152,E209,69835,1883
229,3256321229,1398/06/23,152,F16,22885,1748,152,M179,37198,1748
230,641432682,1398/06/23,152,M179,37181,1748,152,F16,63498,2737
231,641432682,1398/06/23,152,F16,63498,2737,5,N35,74897,3852
232,3152628366,1398/06/23,152,F76,24568,1883,43,M40,60906,2769
233,721904690,1398/06/23,152,F76,24675,1883,43,D26,25918,1303
234,1531323022,1398/06/23,152,F76,24760,1883,97,E125,27274,1682
235,3630332604,1398/06/23,152,F76,65242,1883,79,B19,67150,1232
236,2115548516,1398/06/23,20,M57,27793,1882,152,M27,56768,1883
237,1294430286,1398/06/23,156,E37,27123,3252,94,E153,68276,3192
238,1295102478,1398/06/23,156,E37,64397,3256,34,M105,65540,2491
239,3205262309,1398/06/23,47,D91,23348,3638,156,F169,26076,3252
240,1599042964,1398/06/23,156,N103,28864,3256,156,F169,49823,4178
241,4269943538,1398/06/23,156,N103,26161,3252,156,F169,41987,3956
242,3181229534,1398/06/23,63,A123,32872,2422,156,M148,40951,3252
243,721815497,1398/06/23,156,N103,26087,3252,43,N198,41268,2922
244,341843780,1398/06/23,156,N103,34798,3254,156,N103,46699,4178
245,3603906044,1398/06/23,57,A18,25411,1101,57,A18,54331,1101
246,3152188142,1398/06/23,57,A18,25407,1101,157,B44,43983,3165
247,869415189,1398/06/23,157,B44,30584,3168,57,E76,31295,3169
248,2123435748,1398/06/23,157,B44,43654,3165,157,F129,56274,3843
249,3791830348,1398/06/23,157,F129,25662,3165,157,F129,30955,3843
250,980817739,1398/06/23,57,M64,62633,3169,157,F129,70393,3168
251,980817739,1398/06/23,157,F129,70393,3168,157,F129,74327,3165
252,3758017781,1398/06/23,157,F129,37508,3169,157,F129,48457,3165
253,1832155517,1398/06/23,16,A65,23344,3359,71,E220,71809,3162
254,982779643,1398/06/23,16,A65,37065,3359,94,C22,37929,1899
255,261038753,1398/06/23,16,F149,28022,3359,16,A65,59700,3534
256,362752084,1398/06/23,31,C20,37149,2506,16,A65,59843,3534
257,428600430,1398/06/23,57,B21,35071,1182,16,B39,40800,3534
258,721988782,1398/06/23,16,B39,30433,1148,16,N182,56352,1148
259,2681013972,1398/06/23,16,B39,36122,1259,94,E128,42372,1899
260,3791794172,1398/06/23,40,N159,25214,3656,16,B39,58203,1298
261,3631619964,1398/06/23,16,C17,25974,3359,16,E188,38121,3359
262,3604407292,1398/06/23,9,B125,26943,1101,16,C17,27602,3534
263,2229776739,1398/06/23,43,D26,29433,2769,16,C17,49054,3534
264,4265664466,1398/06/23,16,C17,49085,3534,4,M32,52817,2566
265,427180190,1398/06/23,80,N170,25904,1690,16,C17,49113,3534
266,183914950,1398/06/23,16,C17,52041,3359,5,A142,66881,2566
267,483291076,1398/06/23,16,M45,25397,3359,16,C24,74386,3534
268,3631534268,1398/06/23,16,C24,24436,3158,80,F115,26134,1690
269,2742335316,1398/06/23,77,C28,27270,2274,16,C24,61679,3154
270,3678897676,1398/06/23,34,N58,28991,4179,16,D47,29829,3359
271,4270484322,1398/06/23,91,N139,48789,3799,16,E188,60581,2071
272,4270484322,1398/06/23,16,E188,60581,2071,16,E131,80475,3534
273,2680533486,1398/06/23,16,N82,32698,3359,16,E131,60366,2606
274,4059067741,1398/06/23,16,E132,24623,3359,63,F65,26726,2422
275,2239150276,1398/06/23,16,E132,34112,3534,43,D34,37866,2769
276,2239164570,1398/06/23,16,E132,39218,3359,16,E188,60574,2071
277,982474411,1398/06/23,16,E188,24192,2071,67,B65,63349,2168
278,2962057205,1398/06/23,16,E188,33122,2608,46,A47,44155,3823
279,4275960178,1398/06/23,16,M45,37287,2480,16,E188,60511,3152
280,3154298766,1398/06/23,16,E188,60589,2071,71,E32,70496,3162
281,3630423900,1398/06/23,16,F149,24368,3359,16,E188,61045,2071
282,262552385,1398/06/23,16,E188,61045,2071,63,A63,63155,2507
283,1595376884,1398/06/23,16,E33,21937,3359,85,D38,45711,1294
284,210764156,1398/06/23,16,E33,34908,3359,43,D34,37815,2769
285,1463357566,1398/06/23,16,E33,35098,3359,9,B75,67315,1101
286,362176644,1398/06/23,16,E92,22440,3359,16,N175,25196,3359
287,4246204199,1398/06/23,16,F149,26729,3534,40,N78,65831,2481
288,3445969468,1398/06/23,16,F149,28017,3359,42,D53,29653,3253
289,3405895088,1398/06/23,16,F149,32007,3534,16,M77,71806,3359
290,2741880180,1398/06/23,16,F149,37720,3359,63,D59,41805,1305
291,3183392734,1398/06/23,16,F176,21793,3359,34,N124,23356,4179
292,809165874,1398/06/23,16,M45,26118,1146,67,N144,27876,2168
293,809165874,1398/06/23,67,N144,27876,2168,24,F117,63748,2932
294,721805690,1398/06/23,16,M77,22463,3359,9,N179,24132,1101
295,2740897044,1398/06/23,16,M77,22539,3359,43,C15,24315,2769
296,209217739,1398/06/23,22,C57,24523,2218,16,M77,72262,3359
297,3630336012,1398/06/23,16,N175,39921,3359,28,C36,42106,3782
298,3208190260,1398/06/23,16,N175,40894,1192,34,A12,57195,2167
299,3206807669,1398/06/23,71,E32,28711,1488,16,N182,67919,3359
300,2124576308,1398/06/23,16,N82,43574,2610,63,N185,52308,1303
301,2506444100,1398/06/23,16,N82,43576,2610,40,F136,57363,1632
302,1776395124,1398/06/23,17,A117,42405,1879,50,E205,48776,3923
303,186270870,1398/06/23,57,N187,38372,1154,17,A117,46057,1125
304,3547954756,1398/06/23,80,F115,63010,1690,17,A117,66559,1105
305,474342138,1398/06/23,81,A139,54893,1885,7,A131,56370,1190
306,474342138,1398/06/23,7,A131,56370,1190,17,A117,66618,1347
307,3646555588,1398/06/23,17,A126,22328,1125,82,M129,23558,2304
308,3604343468,1398/06/23,17,A126,60623,1125,17,M153,74869,1125
309,3794812156,1398/06/23,17,A126,25375,2609,17,F74,50400,1125
310,2509149892,1398/06/23,22,C57,24412,2218,17,A129,56286,1125
311,4244666135,1398/06/23,4,N32,30754,3194,17,A38,35119,1125
312,1845558004,1398/06/23,35,B20,33853,2773,17,A38,36191,1879
313,3700217157,1398/06/23,83,E200,38172,2376,17,A38,39978,1879
314,2683034740,1398/06/23,17,F118,26208,1879,9,N179,57851,1106
315,341665732,1398/06/23,17,F118,29276,1125,17,F118,34251,1879
316,480110980,1398/06/23,17,F118,46799,1125,17,F74,50396,1125
317,4275943506,1398/06/23,83,A13,43357,1690,17,F118,58915,1125
318,2743002772,1398/06/23,18,E236,63870,2735,17,F118,65255,1125
319,2743002772,1398/06/23,17,F118,65255,1125,18,M116,75228,3123
320,2742765172,1398/06/23,43,D26,26147,1361,17,F58,45368,1125
321,1833055741,1398/06/23,9,N179,40586,1303,17,F58,48623,1879
322,809349810,1398/06/23,57,E130,21805,3169,17,F74,22608,1125
323,1407183052,1398/06/23,17,M149,41418,2240,43,C57,55556,2769
324,981291355,1398/06/23,17,M153,35169,2719,91,N23,77160,2286
325,3151559022,1398/06/23,176,E238,24730,3327,176,C55,48290,3327
326,3178612334,1398/06/23,176,E238,25234,3327,4,N86,65600,3204
327,3793144396,1398/06/23,18,A110,21550,3123,34,M99,51473,1173
328,2038374778,1398/06/23,18,A110,21697,3123,34,N98,22481,4179
329,3679044972,1398/06/23,18,A110,40533,2735,9,B125,41540,1101
330,869224553,1398/06/23,18,F80,37529,1549,18,A110,44645,3123
331,2743055236,1398/06/23,57,B115,33523,1101,18,A110,44653,3123
332,1003828279,1398/06/23,18,F80,37538,1549,18,A110,44660,3123
333,2123509908,1398/06/23,57,M151,36923,3169,18,A110,44666,3123
334,722033518,1398/06/23,18,F80,38242,1549,18,A110,44693,3123
335,1000973054,1398/06/23,9,A45,36556,1101,18,A110,44839,3123
336,3647906964,1398/06/23,9,N179,40154,1236,18,A110,44888,3123
337,2125383908,1398/06/23,31,M41,29643,1889,18,A110,44889,3123
338,3254572669,1398/06/23,18,A110,67636,2735,24,M146,72092,2932
339,4256083572,1398/06/23,57,M23,31596,2338,18,A110,64933,2200
340,361704180,1398/06/23,18,E110,40381,2735,18,E110,41223,1181
341,4265564210,1398/06/23,50,A128,28782,2044,18,E110,40450,2735
342,2137067261,1398/06/23,18,E236,31118,2735,57,M120,32508,3169
343,1506223742,1398/06/23,18,E236,31138,2735,57,M120,32478,3169
344,1506223742,1398/06/23,57,M120,32478,3169,18,E236,46496,2735
345,183044934,1398/06/23,18,E236,31316,2735,92,M146,43530,1644
346,183044934,1398/06/23,92,M146,43530,1644,43,E73,45704,1303
347,2740481796,1398/06/23,18,F80,38244,1549,94,B117,43167,2297
348,2740481796,1398/06/23,94,B117,43168,2297,18,E236,46498,2735
349,3207903828,1398/06/23,57,B116,40083,1154,18,E236,46512,2735
350,1832673693,1398/06/23,18,F80,37957,1549,18,E236,46515,2735
351,3648162148,1398/06/23,18,F70,38401,2735,18,E236,46540,2735
352,3793504700,1398/06/23,85,F109,41714,2933,18,E236,46736,2735
353,4257841604,1398/06/23,18,F70,48109,2735,18,E236,63866,2735
354,1407184515,1398/06/23,18,E236,64196,2735,18,M116,75181,3123
355,3630345388,1398/06/23,18,E236,26087,1549,22,D95,27573,2218
356,2680102398,1398/06/23,34,M105,33118,4179,18,E236,53254,3124
357,3553246940,1398/06/23,18,F70,22409,3123,57,N187,23354,3169
358,2498257316,1398/06/23,18,F70,22745,3123,34,M186,26103,4179
359,1789000644,1398/06/23,18,F70,22748,3123,22,F98,23624,2218
360,4270019554,1398/06/23,18,F70,30508,2735,18,N18,56080,1591
361,2115501796,1398/06/23,18,F70,36153,3123,18,M116,63998,3126
362,721890886,1398/06/23,18,F70,38551,2735,18,F80,47350,2735
363,550747413,1398/06/23,18,F70,44429,2735,18,F70,48144,2735
364,2498638548,1398/06/23,18,F80,43545,2735,18,F70,47923,2735
365,1527893966,1398/06/23,57,M187,25840,1344,18,F70,59042,2735
366,2742440388,1398/06/23,18,F70,60570,3123,9,N111,62098,1153
367,2742440388,1398/06/23,9,N111,62098,1153,18,M116,75199,3123
368,2497524989,1398/06/23,22,F98,55553,2218,18,F70,71406,2735
369,4075837242,1398/06/23,18,F70,25329,2735,57,B115,26419,1101
370,2138041501,1398/06/23,18,F70,25333,2735,9,B125,26462,1101
371,203184764,1398/06/23,18,F70,31260,2800,9,B75,32893,1101
372,2620636636,1398/06/23,18,F70,41403,2800,9,E126,64144,1101
373,184008006,1398/06/23,18,F70,63152,2210,25,A27,67922,3830
374,2045044686,1398/06/23,18,F80,21854,3123,34,N98,22474,4179
375,175344150,1398/06/23,18,F80,30231,3123,25,B69,66082,2764
376,1831959053,1398/06/23,18,F80,30237,3123,25,B69,66090,2764
377,2045312750,1398/06/23,57,M23,44567,1101,18,F80,47346,2735
378,1598792292,1398/06/23,18,N18,36182,2735,18,F80,47414,2735
379,869252902,1398/06/23,18,M116,23303,3123,7,F35,24168,3892
380,3181281294,1398/06/23,18,M116,36900,3123,9,N111,38057,1105
381,3556748833,1398/06/23,9,A45,65755,1153,18,M116,75187,3123
382,3677634508,1398/06/23,9,N179,64960,1110,18,M116,75247,3123
383,1837995917,1398/06/23,18,M116,37141,1549,25,D86,40660,2804
384,1832424061,1398/06/23,18,N18,38810,3123,18,M116,42373,1591
385,3154029118,1398/06/23,18,M116,42449,1591,25,F18,51085,2764
386,361128148,1398/06/23,18,N18,22631,3123,9,A50,23570,1101
387,1592644916,1398/06/23,18,N18,30155,2735,57,A58,31473,3169
